"city_mpg","highway_mpg","horsepower"
"22","35","200"
"22","32","175"
"21","32","175"
"22","32","168"
"22","32","168"
"22","32","175"
"22","32","175"
"22","32","168"
"19","29","249"
"19","29","249"
"31","37","122"
"31","37","122"
"17","22","260"
"17","22","260"
"16","21","260"
"16","21","260"
"16","22","260"
"17","23","260"
"16","22","260"
"17","23","260"
"27","33","117"
"28","35","117"
"27","33","117"
"27","33","117"
"35","40","166"
"23","31","165"
"22","32","176"
"21","28","170"
"22","32","176"
"21","28","170"
"22","32","170"
"20","27","165"
"21","28","176"
"22","32","170"
"21","28","170"
"20","28","161"
"20","28","161"
"18","24","244"
"17","21","244"
"20","28","161"
"18","24","244"
"17","21","244"
"17","24","262"
"17","24","262"
"16","23","262"
"17","24","262"
"16","23","262"
"16","22","355"
"17","24","262"
"16","23","262"
"16","22","355"
"27","33","117"
"28","35","117"
"27","33","117"
"27","33","117"
"17","24","262"
"17","24","262"
"16","22","262"
"16","22","355"
"17","24","262"
"16","22","262"
"16","22","355"
"17","24","262"
"16","22","262"
"16","22","355"
"20","28","161"
"20","28","161"
"18","25","244"
"17","23","244"
"18","25","244"
"17","23","244"
"23","31","165"
"22","31","176"
"22","31","170"
"21","28","176"
"21","28","170"
"21","28","176"
"22","31","170"
"20","27","165"
"21","28","170"
"22","31","176"
"11","20","430"
"12","19","525"
"17","24","262"
"17","24","262"
"16","22","262"
"16","22","355"
"17","24","262"
"16","22","262"
"16","22","355"
"17","24","273"
"16","22","273"
"17","24","273"
"16","22","273"
"17","24","273"
"16","22","273"
"18","26","200"
"20","25","200"
"20","25","200"
"20","25","200"
"14","19","280"
"18","25","225"
"14","21","382"
"11","17","510"
"11","18","518"
"11","17","621"
"18","28","230"
"18","27","230"
"19","28","300"
"12","18","510"
"15","21","536"
"15","23","429"
"12","18","621"
"18","25","300"
"18","25","300"
"18","28","230"
"18","28","230"
"23","31","176"
"22","30","176"
"21","28","170"
"21","28","176"
"21","28","176"
"21","28","170"
"23","31","170"
"23","31","176"
"23","31","170"
"20","28","300"
"18","28","230"
"18","28","230"
"14","21","382"
"12","18","507"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"12","18","507"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"17","25","265"
"20","28","162"
"20","28","162"
"20","28","162"
"20","28","162"
"20","28","162"
"20","28","162"
"20","28","162"
"17","25","265"
"16","24","265"
"20","28","162"
"20","27","162"
"20","27","162"
"16","25","265"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"22","28","179"
"21","27","179"
"19","27","269"
"19","26","269"
"22","28","179"
"21","27","179"
"19","27","269"
"19","26","269"
"22","28","179"
"21","27","179"
"19","27","269"
"19","26","269"
"20","27","162"
"20","27","162"
"16","24","265"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"20","27","162"
"16","24","265"
"16","24","265"
"19","26","162"
"15","21","225"
"15","21","225"
"15","19","225"
"15","21","225"
"15","21","225"
"15","19","225"
"21","30","160"
"21","30","160"
"21","30","160"
"21","30","160"
"14","19","556"
"12","18","556"
"24","33","148"
"24","33","148"
"22","31","168"
"22","31","152"
"20","28","168"
"22","31","152"
"16","21","260"
"14","19","556"
"12","18","556"
"12","18","556"
"14","19","556"
"14","19","556"
"12","18","556"
"16","26","270"
"18","27","270"
"18","27","270"
"16","26","270"
"18","27","270"
"18","27","270"
"18","27","270"
"16","25","304"
"18","27","304"
"18","27","270"
"16","25","304"
"18","27","304"
"18","27","304"
"16","26","270"
"14","20","310"
"14","19","310"
"13","18","381"
"12","17","381"
"14","18","381"
"13","18","381"
"12","17","381"
"14","18","381"
"13","18","381"
"12","17","381"
"17","26","230"
"17","26","300"
"17","26","300"
"18","27","230"
"17","24","297"
"16","23","297"
"17","24","297"
"16","23","297"
"15","22","382"
"17","25","268"
"17","26","230"
"19","28","300"
"18","27","230"
"18","26","320"
"19","28","300"
"17","24","297"
"16","23","297"
"17","24","297"
"16","23","297"
"15","23","382"
"17","26","268"
"17","26","268"
"15","23","382"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"17","24","268"
"15","23","382"
"16","24","382"
"18","26","268"
"13","20","518"
"18","28","230"
"17","25","300"
"17","25","230"
"17","26","300"
"17","26","300"
"18","28","230"
"17","25","230"
"16","25","300"
"14","21","638"
"14","21","638"
"14","20","638"
"14","20","638"
"14","20","638"
"14","20","638"
"21","28","200"
"24","31","140"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"18","27","300"
"18","28","230"
"17","25","230"
"19","28","300"
"18","28","230"
"17","26","230"
"18","26","320"
"19","26","300"
"19","28","300"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"15","23","382"
"15","23","382"
"17","24","268"
"13","20","518"
"22","33","210"
"17","24","268"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","23","268"
"11","15","382"
"11","15","500"
"11","15","382"
"11","13","500"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","270"
"18","27","270"
"14","18","403"
"16","26","270"
"18","27","270"
"18","27","270"
"18","27","270"
"16","25","304"
"18","27","304"
"16","25","304"
"18","27","304"
"18","27","304"
"18","27","304"
"17","23","291"
"16","22","291"
"24","32","148"
"22","31","168"
"20","27","168"
"19","26","230"
"18","24","230"
"19","25","230"
"18","24","230"
"18","27","304"
"18","27","304"
"16","25","304"
"18","27","304"
"18","27","304"
"16","25","304"
"18","27","304"
"18","27","304"
"14","19","310"
"14","19","381"
"13","18","310"
"13","18","381"
"13","18","381"
"14","19","381"
"13","18","381"
"13","18","381"
"14","19","381"
"13","18","381"
"13","18","381"
"24","31","148"
"15","23","275"
"15","23","275"
"15","23","275"
"15","23","292"
"17","24","297"
"17","24","297"
"17","24","297"
"17","24","297"
"17","26","300"
"17","25","300"
"18","28","230"
"23","36","265"
"17","25","230"
"16","25","300"
"17","25","230"
"18","28","230"
"17","26","300"
"17","23","210"
"13","17","335"
"12","17","382"
"24","31","140"
"21","28","200"
"12","17","382"
"13","18","335"
"17","21","210"
"26","31","122"
"24","32","122"
"24","32","122"
"26","31","122"
"16","22","268"
"16","21","268"
"16","21","268"
"16","23","268"
"23","36","265"
"18","27","300"
